graph_type,effect_size,wtp_final,superiority_special
PI,Large effect size,0,0.5
HOPS,Small effect size,50,0.7
CI rescaled,Small effect size,175,0.95
PI,Small effect size,97,0.75
CI rescaled,Large effect size,0,0.95
PI,Large effect size,0,0.75
HOPS,Large effect size,100,0.7
CI,Small effect size,35,0.75
PI,Small effect size,75,0.7
CI,Small effect size,50,0.9
HOPS,Large effect size,125,0.7
HOPS,Large effect size,150,0.8
CI,Small effect size,150,0.95
CI,Small effect size,75,0.55
CI rescaled,Large effect size,175,0.99
CI rescaled,Large effect size,200,0.9
CI rescaled,Large effect size,18,1
CI rescaled,Large effect size,50,0.85
CI rescaled,Small effect size,50,0.7
PI,Small effect size,0,0.55
PI,Small effect size,36,0.7
PI,Large effect size,50,0.75
CI,Large effect size,100,0.51
CI rescaled,Large effect size,75,0.9
CI,Large effect size,125,1
CI rescaled,Large effect size,48,0.95
PI,Small effect size,11,0.6
PI,Small effect size,10,0.52
PI,Large effect size,50,0.75
HOPS,Small effect size,200,0.7
CI,Large effect size,50,0.75
PI,Large effect size,50,0.75
CI,Small effect size,53,0.95
CI rescaled,Large effect size,25,0.8
CI rescaled,Small effect size,25,0.95
CI,Large effect size,50,0.95
CI rescaled,Small effect size,0,0.53
HOPS,Large effect size,122,0.7
CI,Large effect size,75,0.95
CI rescaled,Small effect size,100,0.95
CI,Large effect size,100,0.6
PI,Large effect size,10,0.7
HOPS,Small effect size,50,0.75
CI,Large effect size,40,0.95
PI,Large effect size,0,0.75
CI,Large effect size,71,0.7
HOPS,Large effect size,50,0.6
HOPS,Small effect size,34,0.7
CI,Small effect size,55,0.8
PI,Small effect size,15,0.7
PI,Large effect size,50,0.75
PI,Large effect size,30,0.75
CI rescaled,Small effect size,136,0.65
HOPS,Small effect size,30,0.55
HOPS,Large effect size,50,0.95
PI,Small effect size,35,0.5
PI,Large effect size,50,0.58
HOPS,Large effect size,25,0.75
HOPS,Large effect size,95,0.58
CI rescaled,Small effect size,0,0.7
HOPS,Large effect size,50,0.6
CI rescaled,Small effect size,60,0.95
CI,Small effect size,24,0.95
PI,Large effect size,85,0.6
HOPS,Large effect size,80,0.75
CI rescaled,Small effect size,200,0.95
PI,Small effect size,150,0.8
HOPS,Large effect size,15,0.75
HOPS,Small effect size,20,0.5
CI rescaled,Small effect size,100,0.95
CI rescaled,Small effect size,100,0.95
HOPS,Small effect size,200,0.75
PI,Small effect size,50,0.75
CI,Large effect size,208,0.9
CI rescaled,Small effect size,55,0.7
PI,Small effect size,138,0.65
CI,Small effect size,249,0.99
HOPS,Large effect size,150,0.8
CI rescaled,Small effect size,7,0.52
CI rescaled,Large effect size,10,0.8
HOPS,Small effect size,10,0.55
CI,Small effect size,0,1
PI,Small effect size,88,0.6
PI,Small effect size,25,0.6
CI,Small effect size,40,0.95
CI,Small effect size,50,0.79
PI,Small effect size,34,0.5
CI,Small effect size,50,0.9
CI,Small effect size,20,0.98
CI rescaled,Large effect size,20,1
HOPS,Small effect size,10,0.52
PI,Small effect size,30,1
HOPS,Large effect size,50,0.75
HOPS,Large effect size,50,0.75
CI rescaled,Large effect size,211,0.8
PI,Small effect size,25,0.53
CI,Small effect size,125,0.75
PI,Large effect size,75,0.8
HOPS,Small effect size,25,0.7
CI,Small effect size,150,0.9
HOPS,Large effect size,100,0.75
PI,Large effect size,50,0.75
CI,Small effect size,95,0.75
CI,Large effect size,30,0.95
CI rescaled,Large effect size,150,0.7
CI,Small effect size,150,0.98
CI,Small effect size,50,0.8
HOPS,Small effect size,50,0.75
